Scenario,Algorithm,RunIndex,R_task,R_time,CRI,throughputRecovery,feasibilityRate,completionRate,failedRate,meanCompletionTime
small,RRAM,224,0.403409090909091,0.634146341463415,0.518777716186253,0.266666666666667,0.425,0.425,0.575,185.323529411765
small,RRAM,225,0.507739938080495,0.722955145118733,0.615347541599614,1,0.5125,0.5125,0.4875,175.707317073171
small,RRAM,226,0.49112426035503,0.59672131147541,0.54392278591522,0.5,0.5125,0.5125,0.4875,193.390243902439
small,RRAM,227,0.452380952380952,0.727891156462585,0.590136054421769,0,0.475,0.475,0.525,191.263157894737
small,RRAM,228,0.463483146067416,0.511173184357542,0.487328165212479,0.323529411764706,0.4625,0.4625,0.5375,167.405405405405
small,RRAM,229,0.428571428571429,0.484756097560976,0.456663763066202,0,0.425,0.425,0.575,165.470588235294
small,RRAM,230,0.476190476190476,0.626038781163435,0.551114628676955,0.285714285714286,0.5,0.5,0.5,171.65
small,RRAM,231,0.422619047619048,0.590062111801242,0.506340579710145,0,0.4625,0.4625,0.5375,173.594594594595
small,RRAM,232,0.392045454545455,0.501355013550135,0.446700234047795,0.266666666666667,0.425,0.425,0.575,171.794117647059
small,RRAM,233,0.385756676557863,0.688311688311688,0.537034182434776,0.266666666666667,0.425,0.425,0.575,166.470588235294
small,RRAM,234,0.380952380952381,0.409604519774011,0.395278450363196,0,0.4125,0.4125,0.5875,162.878787878788
small,RRAM,235,0.441791044776119,0.456140350877193,0.448965697826656,0,0.45,0.45,0.55,179.972222222222
small,RRAM,236,0.406528189910979,0.750830564784053,0.578679377347516,0.466666666666667,0.425,0.425,0.575,172.470588235294
small,RRAM,237,0.426470588235294,0.530555555555556,0.478513071895425,0.277777777777778,0.425,0.425,0.575,177.294117647059
small,RRAM,238,0.469026548672566,0.483050847457627,0.476038698065097,0.294117647058824,0.4875,0.4875,0.5125,174.384615384615
small,RRAM,239,0.442477876106195,0.621082621082621,0.531780248594408,0,0.4625,0.4625,0.5375,201.324324324324
small,RRAM,240,0.384615384615385,0.599348534201954,0.49198195940867,0,0.4125,0.4125,0.5875,169.787878787879
small,RRAM,241,0.325443786982249,0.592696629213483,0.459070208097866,0,0.35,0.35,0.65,148.25
small,RRAM,242,0.421052631578947,0.64797507788162,0.534513854730284,1,0.425,0.425,0.575,185.794117647059
small,RRAM,243,0.553008595988539,0.714828897338403,0.633918746663471,0.407407407407407,0.525,0.525,0.475,177.547619047619
small,RRAM,244,0.452662721893491,0.557692307692308,0.505177514792899,0.3125,0.45,0.45,0.55,175.722222222222
small,RRAM,245,0.445820433436532,0.680451127819549,0.563135780628041,1,0.45,0.45,0.55,176.916666666667
small,RRAM,246,0.393162393162393,0.724279835390947,0.55872111427667,0.206896551724138,0.4625,0.4625,0.5375,181.351351351351
small,RRAM,247,0.592067988668555,0.476964769647697,0.534516379158126,0.419354838709677,0.55,0.55,0.45,179.818181818182
